City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
297,beyneu,0,KZ,1554438240,82,45.32,55.19,35.24,2.93
298,leh,68,IN,1554438240,86,34.16,77.58,8.69,2.04
299,novikovo,0,UA,1554438241,100,45.05,34.56,27.41,2.37
300,grindavik,75,IS,1554437216,100,63.84,-22.43,36.0,4.7
301,kennebunk,1,US,1554438244,42,43.38,-70.55,35.01,11.99
302,bambanglipuro,24,ID,1554437696,92,-7.95,110.28,82.94,4.16
303,ahuimanu,75,US,1554438149,69,21.44,-157.84,84.2,6.93
304,prieska,76,ZA,1554438246,70,-29.67,22.74,54.86,7.85
305,chhatarpur,0,IN,1554433200,44,24.92,79.59,78.8,3.36
306,buala,92,SB,1554438246,76,-8.15,159.59,87.8,8.41
307,auki,0,NG,1554438247,43,12.18,6.51,68.54,4.05
308,bilibino,0,RU,1554437732,67,68.06,166.44,34.97,3.04
309,nortelandia,36,BR,1554438247,89,-14.45,-56.8,76.64,4.27
310,batemans bay,80,AU,1554437715,76,-35.71,150.18,68.0,8.01
311,turukhansk,68,RU,1554438248,89,65.8,87.96,15.71,3.6
312,marzuq,76,YE,1554438248,89,14.4,46.47,56.84,2.48
313,camacha,75,PT,1554436800,72,33.08,-16.33,59.0,24.16
314,ancud,90,CL,1554433200,100,-41.87,-73.83,44.6,2.24
315,karabash,8,RU,1554438252,86,55.49,60.21,23.81,3.6
316,santa paula,1,US,1554438243,67,34.35,-119.06,59.0,3.38
317,port-gentil,64,GA,1554437683,96,-0.72,8.78,82.58,7.96
318,cavalcante,12,BR,1554438253,96,-13.79,-47.46,65.57,2.48
319,haukipudas,20,FI,1554437717,92,65.17,25.5,28.4,8.05
320,gamba,0,CN,1554437805,89,28.28,88.52,17.42,2.48
321,wairoa,80,NZ,1554437833,100,-39.04,177.43,58.64,5.95
322,baruun-urt,56,MN,1554438253,27,46.68,113.28,36.5,5.39
323,mahajanga,20,MG,1554436800,94,-15.72,46.32,77.0,4.7
324,chibuto,0,MZ,1554438254,90,-24.69,33.53,67.55,9.64
325,dhola,90,NP,1554436200,93,27.92,84.82,62.6,0.36
326,pandan,0,PH,1554438255,95,11.72,122.09,81.68,16.8
327,pundaguitan,12,PH,1554438255,92,6.37,126.17,83.57,4.61
328,caramay,0,PH,1554438256,90,10.18,119.24,83.84,13.56
329,nizwa,36,OM,1554438256,42,22.93,57.53,64.94,3.27
330,ketchikan,90,US,1554432960,87,55.34,-131.65,46.4,17.22
331,raudeberg,0,NO,1554437706,81,61.99,5.14,42.8,9.17
332,amapa,20,HN,1554438019,78,15.09,-87.97,80.6,8.05
333,sorland,0,NO,1554432600,100,67.67,12.69,32.0,4.7
334,brae,0,GB,1554436200,93,60.4,-1.35,44.6,9.17
335,novobiryusinskiy,0,RU,1554438257,63,56.96,97.71,32.9,3.6
336,broken hill,0,AU,1554433200,20,-31.97,141.45,87.8,13.87
337,lakes entrance,0,AU,1554437510,58,-37.88,147.99,79.0,5.01
338,deniliquin,8,AU,1554437769,33,-35.53,144.96,84.0,15.99
339,pacific grove,20,US,1554437729,87,36.62,-121.92,57.2,3.36
340,acapulco,5,MX,1554432120,74,16.86,-99.88,80.6,12.75
341,deputatskiy,8,RU,1554438259,91,69.3,139.9,26.51,3.94
342,cherskiy,0,RU,1554437697,69,68.75,161.3,25.43,3.38
343,schleiden,0,DE,1554438238,85,50.53,6.48,42.01,4.7
344,sioux lookout,90,CA,1554436800,67,50.1,-91.92,32.0,9.17
345,baixa grande,0,BR,1554438260,91,-11.96,-40.17,73.31,3.38
346,darnah,48,LY,1554437773,100,32.77,22.64,59.99,17.69
347,okha,80,RU,1554437703,98,53.59,142.95,32.9,18.59
348,banjar,76,ID,1554438261,89,-7.37,108.54,78.26,3.71
349,ostroleka,88,PL,1554438261,57,53.09,21.58,46.31,13.89
350,gurupi,20,BR,1554438261,95,-11.73,-49.07,72.68,3.04
351,aksu,90,KZ,1554435000,93,52.04,76.93,48.2,11.18
352,faya,0,SA,1554433200,87,18.39,42.45,60.8,9.17
353,shelburne,40,CA,1554438061,37,44.08,-80.2,33.8,5.82
354,antofagasta,0,CL,1554433200,82,-23.65,-70.4,64.4,4.7
355,vila franca do campo,40,PT,1554437424,62,37.72,-25.43,55.0,10.29
356,kasongo-lunda,64,CD,1554438266,95,-6.48,16.82,69.08,2.15
357,west wendover,75,US,1554432960,44,40.74,-114.07,57.2,3.36
358,salta,40,AR,1554436800,82,-24.79,-65.41,66.2,8.05
359,sampit,80,ID,1554438267,94,-2.54,112.95,80.24,8.41
360,ankang,0,CN,1554438267,57,32.73,108.99,66.38,2.59
361,birjand,0,IR,1554433200,41,32.86,59.22,57.2,9.17
362,skibbereen,0,IE,1554435000,100,51.55,-9.27,32.0,4.7
363,clyde river,1,CA,1554433200,83,70.47,-68.59,-11.21,3.36
364,marathon,44,CA,1554438268,75,48.72,-86.38,26.6,12.55
365,fairbanks,40,US,1554437646,36,64.84,-147.72,33.8,17.22
366,wajima,0,JP,1554433200,33,37.4,136.9,59.0,31.09
367,kattivakkam,40,IN,1554436800,66,13.22,80.32,91.4,9.17
368,teyateyaneng,92,LS,1554438269,98,-29.15,27.74,52.25,2.93
369,arshan,92,YE,1554438269,87,14.32,46.95,57.47,4.16
370,eatonton,90,US,1554438260,87,33.33,-83.39,61.0,4.7
371,tual,32,ID,1554438270,100,-5.67,132.75,83.3,9.19
372,langsa,20,ID,1554438270,95,4.47,97.97,79.88,2.71
373,pedernales,68,EC,1554438270,96,0.07,-80.05,72.41,4.61
374,kavieng,48,PG,1554437757,100,-2.57,150.8,82.4,0.92
375,saint-augustin,0,FR,1554437723,61,44.83,-0.61,46.99,8.05
376,srednekolymsk,12,RU,1554437836,78,67.46,153.71,26.06,3.27
377,dutlwe,92,BW,1554438271,80,-23.98,23.93,65.66,7.85
378,san carlos del zulia,20,VE,1554438028,74,9.0,-71.91,80.33,2.26
379,meulaboh,8,ID,1554437774,100,4.14,96.13,83.84,3.38
380,muisne,100,EC,1554438272,92,0.61,-80.02,74.3,4.72
381,kieta,64,PG,1554438272,98,-6.22,155.63,81.5,3.71
382,garh maharaja,44,PK,1554438272,62,30.83,71.9,75.02,7.4
